specObjID,ra,dec,redshift,zErr,class,subClass,u,g,r,i,z,plate,mjd,fiberID
8.24E+18,139.58959,46.339779,5.24E-06,1.20E-05,STAR,K5Ve (118100),22.51139,19.68927,18.48286,18.01087,17.70952,7315,56685,480
4.45E+18,234.50427,27.008487,5.30E-06,2.11E-05,STAR,F3/F5V (30743),20.12269,19.14463,18.76826,18.58647,18.55325,3952,55330,450
9.58E+18,210.32423,39.703171,5.34E-06,1.47E-05,STAR,F3/F5V (30743),19.07513,18.19516,17.89301,17.78446,17.78358,8505,57834,401
1.69E+18,22.472511,1.215047,5.55E-06,8.34E-06,STAR,F9,18.55185,17.10018,16.54735,16.34475,16.27102,1501,53740,627
1.00E+18,118.809,33.624946,5.66E-06,7.20E-06,STAR,F9,18.41557,16.71122,16.19483,16.21991,15.86843,891,52584,317
3.81E+18,221.66714,41.27608,5.79E-06,7.61E-06,STAR,K5,19.4499,17.03312,16.01243,15.6501,15.46017,3386,54952,452
3.51E+18,59.409577,12.408757,5.79E-06,7.51E-06,STAR,K5,21.93985,19.49971,18.35213,17.90814,17.62116,3121,54749,537
1.95E+18,113.31982,42.290355,5.80E-06,3.36E-05,STAR,F5,20.83563,19.77539,19.43382,19.35317,19.31368,1735,53035,261
1.69E+18,22.359093,0.850823,5.83E-06,6.98E-06,STAR,K3,18.98489,16.96285,16.08934,15.74697,15.59777,1501,53740,596
1.69E+18,21.243921,-0.708109,5.88E-06,1.09E-05,STAR,K7,21.57333,19.06037,17.78878,17.28165,17.03825,1501,53740,271
1.15E+19,150.13991,34.824545,5.97E-06,1.32E-05,STAR,F0II (25291),18.67622,17.46148,17.36883,17.3637,17.36363,10230,58224,996
9.92E+17,178.14039,52.756837,5.98E-06,8.35E-06,STAR,M0,20.81092,18.06703,16.69587,16.04721,15.72096,881,52368,487
1.31E+19,128.63831,35.159306,6.02E-06,2.11E-05,STAR,WDhotter,17.84705,17.42199,17.64281,17.85889,18.11454,11651,58511,978
3.32E+18,109.58018,37.6365,6.12E-06,6.03E-05,STAR,WD,19.54346,19.43243,19.76351,20.06138,20.30077,2946,54506,352
3.50E+18,6.0667901,7.5049901,6.16E-06,9.47E-06,STAR,K5,19.08572,16.7244,15.62471,15.20969,14.94601,3106,54738,240
3.08E+18,228.58517,6.799363,6.18E-06,8.85E-06,STAR,K1,19.92189,18.48984,17.86046,17.61396,17.48827,2739,54618,224
3.50E+18,8.4396,-9.9165001,6.21E-06,7.52E-06,STAR,K5,20.14171,17.72957,16.60783,16.20201,15.96367,3105,54825,483
3.79E+18,199.24563,41.686541,6.30E-06,8.93E-06,STAR,M0,22.50296,19.20588,17.80327,17.06233,16.62066,3368,54954,427
3.04E+18,99.64204,26.837807,6.35E-06,1.43E-05,STAR,G0,20.28003,19.05039,18.5618,18.38197,18.32055,2696,54167,623
3.81E+18,223.80727,10.013615,6.50E-06,6.50E-06,STAR,K3,19.15011,16.83033,15.88706,15.57347,15.39855,3388,54947,512
2.31E+18,52.434786,0.403571,6.52E-06,8.23E-06,STAR,F9,17.59287,15.97038,15.3118,15.06668,14.95532,2049,53350,423
6.18E+18,228.28622,9.0091651,6.63E-06,8.79E-06,STAR,G8V (101501),22.14142,19.95446,19.98476,19.23611,18.08496,5487,55982,809
3.81E+18,224.66234,10.024151,6.75E-06,7.68E-06,STAR,K7,20.24573,17.62223,16.41603,15.97531,15.73539,3388,54947,635
3.04E+18,98.839867,26.972046,7.03E-06,1.00E-05,STAR,G2,19.56463,18.24981,17.70082,17.47402,17.38292,2696,54167,557
1.69E+18,22.60322,0.294699,7.04E-06,7.85E-06,STAR,F9,17.66726,16.25643,15.71481,15.51391,15.44242,1501,53740,569
3.80E+18,128.5861,22.763335,7.08E-06,8.12E-06,STAR,K7,20.26872,17.61075,16.35927,15.87811,15.61471,3373,54940,311
3.50E+18,9.0860701,-10.7021,7.19E-06,1.16E-05,STAR,K3,21.01189,18.49734,17.49623,17.14179,16.95666,3105,54825,3
3.04E+18,98.842528,27.668078,7.21E-06,1.03E-05,STAR,F5,19.3954,18.00767,17.52433,17.31633,17.20224,2696,54167,578
8.25E+18,122.74868,46.164934,7.40E-06,2.39E-05,STAR,F3/F5V (30743),20.01963,19.06204,18.65623,18.51946,18.41804,7328,56715,615
1.95E+18,113.95767,43.065965,7.52E-06,1.22E-05,STAR,M2,21.37808,18.57528,17.14671,16.14153,15.57614,1735,53035,372
3.50E+18,8.8537903,-10.5055,7.53E-06,7.06E-06,STAR,K3,20.30087,18.37227,17.59107,17.29516,17.17256,3105,54825,65
6.09E+18,189.88571,11.334255,7.53E-06,7.02E-06,STAR,K4III (136726),20.76822,17.77559,16.64242,16.20179,15.92211,5406,55955,904
8.26E+18,30.874457,0.51634537,7.54E-06,1.83E-05,STAR,F3/F5V (30743),19.67046,18.83309,18.531,18.43529,18.41047,7332,56683,921
8.25E+18,55.540655,-0.35703174,7.58E-06,7.61E-06,STAR,G1V (95128),17.601,16.01096,15.48334,15.31193,15.25318,7331,56658,144
3.52E+18,72.296199,-5.2418921,7.63E-06,7.60E-06,STAR,F9,18.82642,17.4271,16.85986,16.64963,16.57588,3123,54741,298
3.82E+18,229.07622,44.117381,7.63E-06,3.61E-05,STAR,A0,20.69461,19.4847,19.49023,19.60862,19.71855,3390,54945,37
1.69E+18,29.833815,0.532263,7.64E-06,9.95E-06,STAR,K7,21.85936,19.2715,17.99967,17.47918,17.18429,1505,52941,487
3.32E+18,111.47654,36.670613,7.69E-06,1.12E-05,STAR,K3,22.07859,19.83814,19.0708,18.78467,18.62669,2946,54506,100
3.07E+18,230.01967,6.609146,7.70E-06,7.78E-06,STAR,F9,16.56686,15.03282,14.48251,14.28515,14.22081,2724,54616,116
5.81E+18,135.13427,46.220909,7.85E-06,2.21E-05,STAR,F0IV (81937),19.54602,18.69425,18.44174,18.37052,18.33568,5162,55893,77
3.07E+18,105.1025,11.727674,7.96E-06,8.50E-06,STAR,A0,18.13834,16.71582,16.57438,16.30107,16.28852,2727,54414,253
4.32E+18,172.93962,0.087651162,8.01E-06,3.97E-05,STAR,A2II (39866),20.72257,19.86489,19.6187,19.53668,19.56564,3840,55574,356
3.32E+18,110.825,38.633296,8.07E-06,1.80E-05,STAR,M3,20.52798,18.0949,16.60912,15.21538,14.68181,2946,54506,363
4.32E+18,172.94166,-1.1219789,8.15E-06,2.27E-05,STAR,F3/F5V (30743),20.80876,19.88406,19.56166,19.48738,19.35951,3840,55574,339
3.07E+18,113.15457,17.080994,8.28E-06,1.41E-05,STAR,F9,20.6846,19.18474,18.53365,18.35792,18.20131,2728,54416,452
3.80E+18,128.66719,22.370004,8.30E-06,1.01E-05,STAR,G2,19.71367,18.48762,18.04812,17.8979,17.85832,3373,54940,293
3.50E+18,19.3333,8.3972301,8.38E-06,7.94E-06,STAR,K7,19.48804,17.09552,15.93653,15.50488,15.25769,3110,54747,538
1.68E+18,12.380974,-1.146792,8.45E-06,1.83E-05,STAR,F9,20.38745,18.93174,18.36827,18.15438,18.10264,1496,52883,241
3.74E+18,168.23501,42.491813,8.74E-06,9.01E-06,STAR,F9,19.47601,18.29523,17.76374,17.58542,17.5552,3326,54943,526
6.53E+18,148.72963,30.687963,8.82E-06,7.88E-05,STAR,WDhotter,19.05924,19.05472,19.4553,19.71175,19.9586,5799,56325,122
1.69E+18,20.914217,-0.040118,8.99E-06,1.62E-05,STAR,M3,22.0655,19.37596,17.93228,16.69212,16.04974,1501,53740,253
3.50E+18,13.9458,0.96398003,9.01E-06,8.18E-06,STAR,F9,17.37351,16.12287,15.64313,15.46151,15.36836,3112,54802,324
3.51E+18,59.539195,11.901796,9.31E-06,1.41E-05,STAR,F9,21.49324,19.91537,19.2674,18.94944,18.73154,3121,54749,552
2.31E+18,52.025012,0.634343,9.33E-06,9.11E-06,STAR,F9,19.26247,17.71383,17.04029,16.78607,16.644,2049,53350,388
1.69E+18,21.020128,-0.507174,9.33E-06,8.88E-06,STAR,K3,20.04556,18.08764,17.29652,17.01858,16.85714,1501,53740,250
3.50E+18,17.476789,-8.989766,9.68E-06,8.25E-06,STAR,F9,18.37767,17.11314,16.60638,16.4003,16.33807,3109,54833,612
8.26E+18,36.740314,-0.11585254,9.70E-06,1.11E-05,STAR,G4V (32923),20.39385,19.08944,18.57698,18.41892,18.29625,7333,56686,89
3.13E+17,166.98484,-0.079988802,9.71E-06,8.37E-06,STAR,G0,17.03674,15.90299,15.55172,15.41759,15.38048,278,51900,278
8.26E+18,36.834671,-0.092923397,9.76E-06,6.26E-06,STAR,G8V (101501),18.67552,17.28339,16.72534,16.52707,16.43628,7333,56686,91
3.07E+18,113.7983,15.091685,9.84E-06,1.63E-05,STAR,F9,20.68714,19.22875,18.6353,18.40871,18.29817,2728,54416,19
3.51E+18,57.545734,12.228052,9.91E-06,7.66E-06,STAR,K5,21.64541,19.02045,17.77404,17.27875,16.93787,3121,54749,352
3.50E+18,7.52563,6.6606898,9.93E-06,8.72E-06,STAR,K1,19.36688,17.6848,16.97779,16.75103,16.66136,3106,54738,12
2.95E+18,0.385762,-5.966742,9.95E-06,8.46E-06,STAR,F9,19.36125,17.9444,17.36138,17.13772,17.02308,2624,54380,293
3.52E+18,35.182232,-9.8661806,9.97E-06,2.16E-05,STAR,F5,20.0396,19.11905,18.74138,18.60706,18.55716,3122,54821,123
1.69E+18,22.203232,0.792471,1.01E-05,8.54E-06,STAR,K7,20.42467,17.81861,16.48224,15.92284,15.60507,1501,53740,600
3.32E+18,111.50768,37.196081,1.02E-05,7.60E-06,STAR,K5,19.9241,17.36774,16.33886,15.99967,15.84292,2946,54506,142
5.14E+18,150.86653,41.6475,1.04E-05,6.29E-06,STAR,F0V (90277),16.44535,15.60593,15.38487,15.30214,15.29358,4565,55591,90
4.32E+18,174.40987,-0.45601671,1.06E-05,2.57E-05,STAR,WDcooler,18.34218,17.93483,17.90515,17.96661,18.05898,3840,55574,55
3.74E+18,168.36307,41.025335,1.06E-05,9.01E-06,STAR,F9,19.7862,18.30605,17.72007,17.47422,17.34196,3326,54943,520
4.45E+18,234.60364,26.096855,1.06E-05,3.20E-05,STAR,F3/F5V (30743),20.70312,19.72028,19.4783,19.25126,19.20298,3953,55322,990
8.26E+18,35.569484,0.15481149,1.06E-05,9.87E-06,STAR,K5Ve (118100),20.83376,18.36778,17.10234,16.57422,16.24977,7333,56686,699
3.04E+18,98.42407,26.791007,1.06E-05,2.03E-05,STAR,G2,21.12648,19.77256,19.23503,18.96458,18.83818,2696,54167,502
1.35E+18,136.83506,40.124532,1.07E-05,8.69E-06,STAR,F5,16.95433,15.86191,15.51531,15.39279,15.38072,1199,52703,635
3.79E+18,192.56842,47.44402,1.07E-05,7.43E-06,STAR,F9,17.75317,16.3697,15.8363,15.69102,15.61589,3367,54998,232
3.81E+18,220.45702,40.473008,1.07E-05,7.52E-06,STAR,K5,18.99921,16.68735,15.6891,15.33695,15.15153,3386,54952,390
3.04E+18,98.973432,26.24872,1.07E-05,1.35E-05,STAR,F9,20.49761,18.93415,18.28435,18.01415,17.8559,2696,54167,63
8.25E+18,56.289722,0.45725768,1.07E-05,7.58E-06,STAR,K5 (G_19-24),20.94375,18.21024,16.81124,16.24,15.91189,7331,56658,982
1.25E+18,327.31937,0.808626,1.08E-05,8.94E-06,STAR,K7,21.01454,18.40064,17.08834,16.54593,16.22613,1107,52968,418
3.80E+18,128.82163,22.485708,1.09E-05,1.16E-05,STAR,G2,19.61797,18.41323,18.01585,17.8297,17.76073,3373,54940,294
3.04E+18,98.339973,26.950008,1.09E-05,1.10E-05,STAR,M2,22.54889,19.92631,18.46691,17.31336,16.67648,2696,54167,482
2.35E+18,134.77261,24.63406,1.10E-05,1.33E-05,STAR,M2,21.90299,19.46764,18.04915,17.06147,16.49587,2086,53401,307
3.04E+18,98.404875,25.474824,1.11E-05,1.28E-05,STAR,G2,20.15259,18.70904,18.17111,17.93446,17.75682,2696,54167,46
1.95E+18,112.63835,41.496228,1.12E-05,1.36E-05,STAR,M3,22.61337,19.4281,18.08018,16.80146,16.10671,1735,53035,285
1.69E+18,21.939861,1.029745,1.14E-05,1.10E-05,STAR,M2,21.57829,19.04868,17.57086,16.49652,15.92176,1501,53740,556
3.82E+18,229.02003,44.368148,1.15E-05,7.73E-06,STAR,K5,20.26094,17.7721,16.66167,16.20376,15.97687,3390,54945,33
3.81E+18,220.49778,40.130138,1.16E-05,7.89E-06,STAR,K7,19.60167,17.0048,15.87858,15.4169,15.14964,3386,54952,391
1.00E+18,119.62765,34.220883,1.16E-05,2.48E-05,STAR,A0,19.66656,18.57395,18.34044,18.26147,18.22066,891,52584,354
3.04E+18,99.279723,27.302245,1.17E-05,8.73E-06,STAR,F9,19.9784,18.48968,17.91737,17.70564,17.5666,2696,54167,583
1.92E+18,216.64122,12.679656,1.18E-05,7.25E-06,STAR,K3,18.8987,17.08225,16.32378,16.01624,15.8524,1708,53503,193
1.69E+18,24.425549,-0.845897,1.18E-05,1.35E-05,STAR,M3,23.39443,19.87013,18.44063,17.32311,16.74261,1502,53741,24
3.32E+18,110.58614,38.489785,1.20E-05,6.72E-06,STAR,K1,19.06442,17.36384,16.72835,16.50738,16.4254,2946,54506,339
8.39E+18,130.05281,-0.43903402,1.20E-05,6.44E-06,STAR,K0IV (191026),19.23759,17.41196,16.72346,16.48927,16.38009,7452,56745,235
9.32E+18,132.9764,43.724834,1.22E-05,8.02E-06,STAR,G9IV (100030),24.63467,19.14124,24.80204,18.55209,22.82691,8281,57042,236
3.50E+18,13.4422,0.46195101,1.23E-05,7.66E-06,STAR,K1,19.95864,18.41963,17.80428,17.57716,17.42104,3112,54802,356
3.28E+18,115.08853,18.062625,1.23E-05,6.86E-06,STAR,K3,20.21306,17.93458,16.99761,16.64133,16.42977,2915,54497,275
1.21E+19,216.92131,36.000733,1.23E-05,1.74E-05,STAR,K3V (32147),21.48551,19.87262,19.10248,18.85151,18.6693,10757,58223,724
3.38E+18,163.24047,40.096352,1.27E-05,7.59E-06,STAR,K1,15.6509,15.48422,12.92551,12.76322,13.9763,3000,54843,315
3.82E+18,225.42948,44.129947,1.27E-05,7.72E-06,STAR,K5,19.83816,17.49819,16.50313,16.12066,15.92647,3390,54945,315
8.60E+18,25.836185,22.405108,1.29E-05,1.55E-05,STAR,G8V (101501),21.45202,19.89721,19.18875,18.91138,18.67509,7638,56981,413
3.32E+18,118.73182,9.912997,1.30E-05,7.74E-06,STAR,K5,21.18084,18.64233,17.65637,17.31096,17.15051,2945,54505,480
3.50E+18,8.243062,-10.840318,1.31E-05,8.13E-06,STAR,K1,18.89435,17.25857,16.60744,16.35057,16.23615,3105,54825,81
2.59E+18,144.38111,23.705903,1.32E-05,9.80E-06,STAR,M1,21.40278,18.87534,17.46154,16.63921,16.24022,2296,53735,273
3.04E+18,99.354246,26.006062,1.32E-05,7.81E-06,STAR,K5,21.75674,18.89145,17.77983,17.3133,17.07855,2696,54167,19
2.31E+18,52.568263,0.876405,1.33E-05,9.19E-06,STAR,F2,17.642,16.40651,15.96989,15.80732,15.73676,2049,53350,414
3.80E+18,130.88532,23.704584,1.34E-05,6.48E-06,STAR,K3,18.14743,16.13691,15.21113,14.89929,14.71224,3373,54940,571
3.32E+18,109.75034,37.106501,1.34E-05,7.91E-06,STAR,F9,18.22313,16.76634,16.16517,15.94685,15.84924,2946,54506,308
3.50E+18,8.1114101,-9.2604904,1.34E-05,6.62E-06,STAR,K1,18.63029,16.9339,16.24986,15.99755,15.85714,3105,54825,479
3.32E+18,118.90959,10.788759,1.34E-05,8.36E-06,STAR,K5,21.53597,19.05602,18.0554,17.71841,17.51396,2945,54505,412
2.65E+18,156.73665,29.44705,1.35E-05,2.17E-05,STAR,M5,20.83474,18.71888,17.17231,15.4946,14.57953,2351,53786,632
2.95E+18,0.961188,-3.651178,1.37E-05,8.23E-06,STAR,F9,17.16038,15.9347,15.4492,15.26331,15.15006,2624,54380,456
