,_DEJ2000,Source,SolID,PF,P1O,EpochG,Gmagavg,BPmagavg,RPmagavg,RVavg,ptpG,ptpRV,R21G,R31G,phi21G,phi31G,FuNFreq1,FuNFreq2,Class,Pratio
264.6272576,-17.30791156,4.12358E+18,3.75317E+17,0.480380089,0.35761678,1714.466843,15.4531,15.85318,14.829654,,0.11675258,,,,,,2.796195043,2.081786673,RRd,0.744445469
161.7280067,-27.77286789,5.45735E+18,3.75317E+17,0.465809972,0.346045788,1673.54818,15.456902,15.684738,15.103171,,0.15380579,,,,,,2.889843846,2.146635627,RRd,0.742890468
69.34966772,-69.94867676,4.65575E+18,3.75317E+17,0.472570821,0.351482139,1695.743201,15.457064,15.666605,15.087111,,0.6129931,,,,,,2.845088343,2.116103445,RRd,0.743766063
273.7595082,-42.87007463,6.72447E+18,3.75317E+17,0.46605599,0.346523834,1711.128992,15.467142,15.69744,15.038223,,0.6207612,,0.3216369,,4.3635354,,2.885863424,2.145656361,RRd,0.743524043
257.3147648,-63.10102465,5.8174E+18,3.75317E+17,0.458645128,0.34132246,1705.378173,15.478401,15.697992,15.079159,,0.24758863,,,,,,2.929777317,2.180323864,RRd,0.744197288
299.7925176,-6.694865974,4.19613E+18,3.75317E+17,0.442186992,0.330164722,1722.646758,15.478933,15.6316185,15.0459175,,0.5661343,,0.2715235,,3.7543533,,2.261550244,3.028899616,RRd,0.746663127
264.5474336,29.26407762,4.59584E+18,3.75317E+17,0.568009171,0.423318088,1759.785033,15.479764,15.664752,15.118333,,0.3505343,,0.2987507,,5.6460567,,2.362351632,1.760446584,RRd,0.745266292
311.5890878,-8.822287789,6.90374E+18,3.75317E+17,0.568590507,0.423716145,1788.76027,15.505469,15.709909,15.13451,,0.15578093,,,,,,2.360059031,1.758753736,RRd,0.745204396
265.6664226,26.08617111,4.59424E+18,3.75317E+17,0.460847556,0.342111662,1721.524082,15.510182,15.691558,15.173234,,0.31570384,,,,,,2.922986352,2.170002301,RRd,0.742353209
234.0172471,-75.07034886,5.79389E+18,3.75317E+17,0.553847001,0.40500395,1701.432022,15.552941,15.812093,15.106315,,0.5740307,,0.43936417,0.21098888,4.2049494,2.3188107,1.805552107,2.469117303,RRd,0.731256012
161.8776329,-40.97753364,5.39185E+18,3.75317E+17,0.486117706,0.361753356,1682.109637,15.553969,15.7612,15.189126,,0.23323908,,0.17503892,,5.215508,,2.764297034,2.057177019,RRd,0.744168237
320.397857,16.1358144,1.78392E+18,3.75317E+17,0.460278762,0.336155366,1762.971235,15.592592,15.809661,15.197176,,1.2178123,,0.54747,0.39284474,4.1018295,1.9001052,2.172607649,2.974974639,RRd,0.730329951
259.5101875,-59.1046404,5.91561E+18,3.75317E+17,0.531347031,0.388868267,1706.019796,15.596706,15.810795,15.225616,,0.8962377,,0.3330565,,3.3162847,,1.882034747,2.571575297,RRd,0.731853656
257.127401,-23.55965655,4.1129E+18,3.75317E+17,0.450671651,0.334234761,1745.677394,15.604267,15.910931,15.00835,,0.67298985,,,,,,2.991862361,2.21900891,RRd,0.741636978
319.5798453,-47.29879228,6.4795E+18,3.75317E+17,0.481798114,0.358782194,1714.734581,15.613545,15.782134,15.3028555,,0.41361326,,,,,,2.78714755,2.075509286,RRd,0.744673306
244.3708804,4.342737726,4.43657E+18,3.75317E+17,0.568687512,0.42378801,1713.774869,15.62091,15.826069,15.268804,,0.37480175,,,,,,2.359651476,1.758388363,RRd,0.74520365
131.6724985,-8.311029795,5.75088E+18,3.75317E+17,0.49108317,0.365771136,1760.627777,15.653251,15.823264,15.329828,,0.20578296,,,,,,2.733986049,2.036315371,RRd,0.744825232
161.5128005,-38.78968953,5.39451E+18,3.75317E+17,0.489508619,0.364359011,1680.405519,15.657947,15.846532,15.316817,,0.4823982,,0.3191678,,4.8137727,,2.744549374,2.042875766,RRd,0.744336252
274.5336628,-65.47047519,6.4373E+18,3.75317E+17,0.491868202,0.365957006,1705.939663,15.672694,15.888946,15.299603,,0.3146018,,,,,,2.732645247,2.033068052,RRd,0.744014361
